# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.finalizedExecutionsCount,1775050337056000000,1775050368823000000,17
NonBlockingReadAction.failedExecutionTimeUs,1775050337056000000,1775050368823000000,0
AWTEventQueue.dispatchTimeTotalNS,1775050337056000000,1775050368823000000,26369914656
NonBlockingReadAction.finalizedExecutionTimeUs,1775050337056000000,1775050368823000000,323213
NonBlockingReadAction.failedExecutionsCount,1775050337056000000,1775050368823000000,0
writeAction.count,1775050337056000000,1775050368823000000,2
writeAction.median.wait.ms,1775050337056000000,1775050368823000000,0
writeAction.wait.ms,1775050337056000000,1775050368823000000,1
DiskQueryRelay.tasksExecuted,1775050337056000000,1775050368823000000,2
writeAction.max.wait.ms,1775050337056000000,1775050368823000000,1
DiskQueryRelay.taskWaitingTotalTimeUs,1775050337056000000,1775050368823000000,1225
DiskQueryRelay.tasksRequested,1775050337056000000,1775050368823000000,2
DiskQueryRelay.taskExecutionTotalTimeUs,1775050337056000000,1775050368823000000,1128
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1775050337056000000,1775050368823000000,0
jps.global.get.library.ms,1775050337056000000,1775050368823000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1775050337056000000,1775050368823000000,0
workspaceModel.global.apply.state.to.project.ms,1775050337056000000,1775050368823000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1775050337056000000,1775050368823000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1775050337056000000,1775050368823000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1775050337056000000,1775050368823000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1775050337056000000,1775050368823000000,0
workspaceModel.global.updates.ms,1775050337056000000,1775050368823000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1775050337056000000,1775050368823000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1775050337056000000,1775050368823000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1775050337056000000,1775050368823000000,0
jps.global.handle.before.change.events.ms,1775050337056000000,1775050368823000000,0
jps.global.initialize.library.bridges.ms,1775050337056000000,1775050368823000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1775050337056000000,1775050368823000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1775050337056000000,1775050368823000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1775050337056000000,1775050368823000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1775050337056000000,1775050368823000000,0
workspaceModel.mutableEntityStorage.instances.count,1775050337056000000,1775050368823000000,3
jps.app.storage.content.writer.save.component.ms,1775050337056000000,1775050368823000000,2
workspaceModel.mutableEntityStorage.add.entity.ms,1775050337056000000,1775050368823000000,0
jps.library.entities.serializer.load.entities.ms,1775050337056000000,1775050368823000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1775050337056000000,1775050368823000000,0
jps.app.storage.content.reader.load.component.ms,1775050337056000000,1775050368823000000,1
workspaceModel.do.save.caches.ms,1775050337056000000,1775050368823000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1775050337056000000,1775050368823000000,0
workspaceModel.global.updates.count,1775050337056000000,1775050368823000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1775050337056000000,1775050368823000000,0
jps.global.handle.changed.events.ms,1775050337056000000,1775050368823000000,0
jps.library.entities.serializer.save.entities.ms,1775050337056000000,1775050368823000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1775050337056000000,1775050368823000000,0
workspaceModel.mutableEntityStorage.entities.ms,1775050337056000000,1775050368823000000,6
workspaceModel.sync.entities.ms,1775050337056000000,1775050368823000000,0
jps.save.global.entities.ms,1775050337056000000,1775050368823000000,7
workspaceModel.load.cache.metadata.from.file.ms,1775050337056000000,1775050368823000000,0
jps.load.initial.state.ms,1775050337056000000,1775050368823000000,31
workspaceModel.moduleManagerBridge.create.module.instance.ms,1775050337056000000,1775050368823000000,0
