# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.library.entities.serializer.save.entities.ms,1775049744172000000,1775049757786000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1775049744172000000,1775049757786000000,0
workspaceModel.sync.entities.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1775049744172000000,1775049757786000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1775049744172000000,1775049757786000000,0
workspaceModel.global.apply.state.to.project.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1775049744172000000,1775049757786000000,0
workspaceModel.load.cache.metadata.from.file.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1775049744172000000,1775049757786000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1775049744172000000,1775049757786000000,0
jps.global.handle.before.change.events.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1775049744172000000,1775049757786000000,0
workspaceModel.mutableEntityStorage.entities.ms,1775049744172000000,1775049757786000000,1
Indexing.writesQueuedAvg,1775049744172000000,1775049757786000000,0.0
Indexing.cache.totalCacheEvicted,1775049744172000000,1775049757786000000,0
Indexing.cache.totalCacheMisses,1775049744172000000,1775049757786000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1775049744172000000,1775049757786000000,0
Indexing.cache.totalCacheAccesses,1775049744172000000,1775049757786000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1775049744172000000,1775049757786000000,0
Indexing.writesQueuedMax,1775049744172000000,1775049757786000000,0
Indexing.totalTimeIndexersSleptMs,1775049744172000000,1775049757786000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1775049744172000000,1775049757786000000,0
Indexing.writesQueuedMin,1775049744172000000,1775049757786000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1775049744172000000,1775049757786000000,0
cacheStateStorage.set.counter,1775049744172000000,1775049757786000000,7
cacheStateStorage.get.duration,1775049744172000000,1775049757786000000,0
cacheStateStorage.get.counter,1775049744172000000,1775049757786000000,10
cacheStateStorage.set.duration,1775049744172000000,1775049757786000000,11
VFS.fileByIdCache.misses,1775049744172000000,1775049757786000000,0
VFS.fileChildByName,1775049744172000000,1775049757786000000,10
VFS.invertedFileNameIndex.requests,1775049744172000000,1775049757786000000,0
VFS.fileByIdCache.hits,1775049744172000000,1775049757786000000,0
NonBlockingReadAction.failedExecutionTimeUs,1775049744172000000,1775049757786000000,0
AWTEventQueue.dispatchTimeTotalNS,1775049744172000000,1775049757786000000,11433506867
NonBlockingReadAction.failedExecutionsCount,1775049744172000000,1775049757786000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1775049744172000000,1775049757786000000,67098
NonBlockingReadAction.finalizedExecutionsCount,1775049744172000000,1775049757786000000,17
writeAction.max.wait.ms,1775049744172000000,1775049757786000000,1
DiskQueryRelay.tasksRequested,1775049744172000000,1775049757786000000,11
DiskQueryRelay.tasksExecuted,1775049744172000000,1775049757786000000,11
writeAction.count,1775049744172000000,1775049757786000000,2
DiskQueryRelay.taskWaitingTotalTimeUs,1775049744172000000,1775049757786000000,614
DiskQueryRelay.taskExecutionTotalTimeUs,1775049744172000000,1775049757786000000,574
writeAction.median.wait.ms,1775049744172000000,1775049757786000000,0
writeAction.wait.ms,1775049744172000000,1775049757786000000,1
workspaceModel.cachedValue.calculated.count,1775049744172000000,1775049757786000000,1
workspaceModel.loading.from.cache.ms,1775049744172000000,1775049757786000000,1
workspaceModel.pre.handlers.ms,1775049744172000000,1775049757786000000,0
workspaceModel.cachedValue.clear.count,1775049744172000000,1775049757786000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1775049744172000000,1775049757786000000,3
workspaceModel.cachedValueWithParameters.calculated.count,1775049744172000000,1775049757786000000,0
workspaceModel.full.replace.project.model.ms,1775049744172000000,1775049757786000000,0
workspaceModel.collect.changes.ms,1775049744172000000,1775049757786000000,0
workspaceModel.initializing.ms,1775049744172000000,1775049757786000000,0
workspaceModel.replace.project.model.ms,1775049744172000000,1775049757786000000,0
workspaceModel.updates.precise.ms,1775049744172000000,1775049757786000000,0
workspaceModel.cachedValue.total.get.count,1775049744172000000,1775049757786000000,7
workspaceModel.cachedValue.from.cache.count,1775049744172000000,1775049757786000000,6
workspaceModel.check.recursive.update.ms,1775049744172000000,1775049757786000000,0
workspaceModel.to.snapshot.ms,1775049744172000000,1775049757786000000,0
workspaceModel.updates.count,1775049744172000000,1775049757786000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1775049744172000000,1775049757786000000,0
workspaceModel.updates.ms,1775049744172000000,1775049757786000000,0
workspaceModel.loading.total.ms,1775049744172000000,1775049757786000000,3
workspaceModel.on.changed.ms,1775049744172000000,1775049757786000000,0
workspaceModel.on.before.changed.ms,1775049744172000000,1775049757786000000,0
workspaceModel.cachedValueWithParameters.clear.count,1775049744172000000,1775049757786000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1775049744172000000,1775049757786000000,0
workspaceModel.init.bridges.ms,1775049744172000000,1775049757786000000,0
workspaceModel.update.unloaded.entities.ms,1775049744172000000,1775049757786000000,0
